rating,review
5,"The serving of chicken meal is now larger, compared to previous months. Coke float, hamburger, and Hot Fudge sundae tastes great too!"
5,"Place was clean, which isn’t always the case with busy locations. Solid spot for a quick meal on the go."
1,"Placed my order at 5:33am through your app. When I got there they said we are closed with no manager. I said I already paid through your app. He said I can't help you with that. When the manager came in she said it will take a while to get things started. I said I will wait. are a few minutes the manager asked me to pull up and she would bring out my order. They brought out 2 different orders none of which was mine.  I waited and waited, and my order came out at 6:15am. The employee asked me to leave the drive through area or they will call the police. I had asked for a receipt, and no one came out with my receipt. I went inside and asked for a receipt and the manager ignored me. I finally had to ask an employee to print me a receipt. I was finally able to leave with my order at 6:30am. I would not recommend this location to anyone. Why would anyone wait about an hour to have my order completed????"
5,"I liked the chips better than the burger... however, all of em tasted great!"
1,"Ugh, I asked for extra pickles and they gave me one… like girl math says that’s actually negative pickles."
5,"Macdonald's is always a reliable choice when you want quick ,tasty food and a good price.The service is usually fast ,the staff are friendly and the restaurants are clean and confortable and the menu has something for everyone from classic Burgers a d fries to New seasonal items."
4,Their movie-themed floats were refreshing but the flavors are not that unique compared to other drinks. I wished a wider variety of flavors next time.
3,"This branch in Richmond, VA was decent. The food came out hot and the order was correct. The wait time was a little longer than expected, but overall it was an average experience."
5,"services Differ From Place To Place, but geenrally its good food."
1,"I had to put a star but trust me they don’t deserve it. The store on WALES RD. In JACKSON OHIO, is by far the worst McDonald’s that has ever opened their doors and is stocked full of the most uneducated, unhygienic, rudest dirtiest slowest members of society that call themselves employees. This place needs to shut down like ASAP and never ever try to reopen again. I have personally NEVER had ONE good experience here not ONE"
1,"Bad food, bad taste and employees are unfriendly especially in my area. I recommend other fast-food dining restaurants..."
1,If you want to pay for an order and not receive all you paid for only to be fobbed of and gaslighted by staff by all means use the ryde branch if you want on brand service go to Newport
5,My favorite place to get dinner after midnight.
1,They dont have shakes over 90% of the time. It is really ridicules
1,today I was double billed on one single order that was all  wrong and when I contacted them they are refusing to give me one of the refunds stating they cant well you had no problem taking two one for 23 and one for 17 I hope other people read this and be careful double check your accounts and make sure they dont take more than the order should be
3,The food was cold the employees was nasty and hateful never have a kind word to say.
5,I think McDonald is an incredible place to eat delicious and cheap because it have a good prices and the quality is ok.I recommend McDonald’s💗
4,"For me, the service is good; it's fast, efficient, and has excellent prices. The burgers and fries are delicious, as are the desserts. I'd like to see security in the restaurants. They have many locations, and the food tastes very similar."
1,"We went to the McDonald’s in zanesville ohio.  The staff was so inappropriate  and curing at each other, saying the f word.  It took us 40 min to get our food, if the worker would have just stopped complained and eating then she could have moved the customers along.  Also, my friend asked about her med fries she order ( only thing ordered) asked since her number disappearedThe worker got her fries in a bag and threw them at my disabled friend.Then she said once I get this lobby cleared I’m closing up and quitting."
1,"Absolutely disgusting the food was freezing when it was delivered, you could tell this must have been sat on a hot plate/under a crappy heat lamp, it would have been under that long that it made the food rubbery - we could’t eat it and tried the dog with the food and he wouldn’t go anywhere near it !! McDonald’s I don’t know why you bother to offer delivery of food, especially if you can’t keep it warm/fresh for your customers - you should be ashamed - my delivery times changed a few times and was kept getting put back - makes you wonder if that food had been sat a hell of a long time !!! I won’t be ordering or bother going to one of your establishments again !!Ryhope McDonald’s"
